Zip_Code,Improvement,Hydrologic_Soil_Group,Sq_Ft,Residential,Meadow
37914,Yes,clay_loam,1000,0.43,0.35
37917,Yes,clay_loam,200,0.43,0.35
37918,Yes,clay_loam,20,0.43,0.35
37918,Yes,clay_loam,1000,0.43,0.35
37918,Yes,clay_loam,6000,0.41,0.35
37918,Yes,clay_loam,800,0.43,0.35
37919,Yes,clay_loam,20,0.43,0.35
37919,Yes,clay_loam,50,0.43,0.35
37920,Yes,clay_loam,5000,0.43,0.35
37920,Yes,clay_loam,30000,0.36,0.35
37922,Yes,clay_loam,50,0.43,0.35
37923,Yes,clay_loam,10,0.43,0.35
37923,Yes,clay_loam,100,0.43,0.35
37932,Yes,clay_loam,200,0.43,0.35
37934,Yes,clay_loam,750,0.43,0.35
37934,Yes,clay_loam,35,0.43,0.35
37934,Yes,clay_loam,500,0.43,0.35
37934,Yes,clay_loam,9500,0.41,0.35
38002,Yes,clay_loam,3000,0.43,0.35
38017,Yes,clay_loam,4000,0.43,0.35
38060,Yes,clay_loam,13000,0.39,0.35
38112,Yes,clay_loam,500,0.43,0.35
38119,Yes,clay_loam,600,0.43,0.35
38122,Yes,clay_loam,300,0.43,0.35
38301,Yes,clay_loam,8,0.43,0.35
38301,Yes,clay_loam,150,0.43,0.35
38305,Yes,clay_loam,20000,0.36,0.35
38305,Yes,clay_loam,6000,0.41,0.35
38343,Yes,clay_loam,43650,0.33,0.35
38358,Yes,clay_loam,25,0.43,0.35
38358,Yes,clay_loam,8500,0.41,0.35
38362,Yes,clay_loam,200,0.43,0.35
38371,Yes,clay_loam,400,0.43,0.35
38380,Yes,clay_loam,10,0.43,0.35
38401,Yes,clay_loam,1200,0.43,0.35
38462,Yes,clay_loam,5000,0.43,0.35
38464,Yes,clay_loam,10890,0.41,0.35
38504,Yes,clay_loam,200,0.43,0.35
38544,Yes,clay_loam,50,0.43,0.35
38562,Yes,clay_loam,100,0.43,0.35
38572,Yes,clay_loam,20,0.43,0.35
